District,Health Facility,Date
Chama,Chigoma,6/16/2009
Chama,Fulaza,6/16/2009
Chama,Pondo,6/16/2009
Chama,Chifunda,6/17/2009
Chama,Mapamba,6/17/2009
Chama,Chikwa,6/18/2009
Chama,Kapichilasenga,6/18/2009
Chama,Buli,6/19/2009
Chama,Kambombo,6/19/2009
Chama,Mphyanakunda,6/19/2009
Chama,Nthonkho,6/19/2009
Chama,Sitwe,6/19/2009
Chama,Tembwe,6/19/2009
Chama,Kanyelele,7/1/2009
Chama,Chibale,7/6/2009
Chama,Mulilo,7/6/2009
Chama,Chilubanama,7/7/2009
Chama,Lundu,7/7/2009
Chama,Kambombo,7/27/2009
Chama,Kambwili Health Post,7/27/2009
Chama,Nthonkho,7/27/2009
Chama,Sitwe,7/27/2009
Chama,Buli,7/28/2009
Chama,Kapichilasenga,7/28/2009
Chama,Pondo,7/28/2009
Chama,Tembwe,7/28/2009
Chama,Chifunda,7/29/2009
Chama,Chigoma,7/29/2009
Chama,Fulaza,7/29/2009
Chama,Mapamba,7/29/2009
Chama,Chikwa,7/31/2009
Chama,Mphyanakunda,8/5/2009
Chama,Chibale,8/6/2009
Chama,Kambombo,8/13/2009
Chama,Nthonkho,8/14/2009
Chama,Buli,8/18/2009
Chama,Chigoma,8/19/2009
Chama,Chikwa,8/19/2009
Chama,Kapichilasenga,8/19/2009
Chama,Tembwe,8/19/2009
Chama,Chifunda,8/20/2009
Chama,Mapamba,8/20/2009
Chama,Pondo,8/20/2009
Chama,Mulilo,8/23/2009
Chama,Chilubanama,8/24/2009
Chama,Lundu,8/24/2009
Chama,Chibale,8/26/2009
Chama,Kambwili Health Post,8/28/2009
Chama,Sitwe,8/28/2009
Chama,Buli,9/14/2009
Chama,Kanyelele,9/14/2009
Chama,Mulilo,9/14/2009
Chama,Chibale,9/15/2009
Chama,Kapichilasenga,9/15/2009
Chama,Tembwe,9/15/2009
Chama,Chilubanama,9/16/2009
Chama,Chifunda,9/17/2009
Chama,Chigoma,9/17/2009
